J1 | V(1=g1,-1=g2,0=draw) | J2 | N | board(0-8) | rounds
------------------------------------------------------------
naive | -1 | bee | 8 | OOXXO.XOX | 8
naive | -1 | bee | 5 | XXX....OO | 5
naive | -1 | bee | 8 | OOOXXO.XX | 8
naive | -1 | bee | 5 | XXX.OO... | 5
naive | -1 | bee | 6 | O.X.OXX.O | 6
naive | -1 | bee | 5 | XXX.O...O | 5
naive | -1 | bee | 6 | X.XOOO.X. | 6
naive | -1 | bee | 5 | XXX.O...O | 5
naive | -1 | bee | 6 | OX..O.XXO | 6
naive | -1 | bee | 7 | XO.XXOO.X | 7
naive | -1 | bee | 6 | OXX.O..XO | 6
naive | -1 | bee | 5 | XXX.O.O.. | 5
naive | -1 | bee | 8 | OXXOOO.XX | 8
naive | -1 | bee | 7 | X.OXXOO.X | 7
naive | -1 | bee | 8 | XOOXOXOX. | 8
naive | -1 | bee | 5 | XXX...OO. | 5
naive | -1 | bee | 6 | OX..OX.XO | 6
naive | -1 | bee | 5 | X.OX..X.O | 5
naive | -1 | bee | 8 | OOOXXOX.X | 8
naive | -1 | bee | 7 | XOXXO.X.O | 7
naive | 0 | bee | 9 | XOXXOXOXO | 9
naive | -1 | bee | 7 | XXOOX.OX. | 7
naive | -1 | bee | 6 | XX.OOO.X. | 6
naive | -1 | bee | 7 | XXOOX.OX. | 7
naive | 0 | bee | 9 | OOXXXOOXX | 9
naive | -1 | bee | 5 | XXXO....O | 5
naive | -1 | bee | 6 | OXX.O..XO | 6
naive | -1 | bee | 7 | XOX.XOXO. | 7
naive | -1 | bee | 6 | X.OXO.O.X | 6
naive | -1 | bee | 5 | XXX.OO... | 5
naive | -1 | bee | 8 | OXXOOO.XX | 8
naive | -1 | bee | 5 | XO.X..XO. | 5
naive | -1 | bee | 6 | X..OOO.XX | 6
naive | -1 | bee | 5 | XXXO..O.. | 5
naive | -1 | bee | 6 | .OX.OXXO. | 6
naive | -1 | bee | 5 | XXX.O..O. | 5
naive | -1 | bee | 8 | OOOXXOXX. | 8
naive | -1 | bee | 5 | XXX.OO... | 5
naive | -1 | bee | 6 | OXX.O..XO | 6
naive | -1 | bee | 7 | XXOXOOX.. | 7
naive | -1 | bee | 8 | XOOXOXOX. | 8
naive | -1 | bee | 5 | XXX.O...O | 5
naive | -1 | bee | 6 | OOOX.X.X. | 6
naive | -1 | bee | 5 | XXX...OO. | 5
naive | 0 | bee | 9 | OOXXXOOXX | 9
naive | -1 | bee | 5 | X.OXO.X.. | 5
naive | -1 | bee | 8 | XOOXO.OXX | 8
naive | -1 | bee | 7 | XOOXXXO.. | 7
naive | 0 | bee | 9 | OXXXOOOXX | 9
naive | -1 | bee | 5 | XXXO....O | 5
naive | 0 | bee | 9 | XOXXOOOXX | 9
naive | -1 | bee | 5 | XXXO...O. | 5
naive | -1 | bee | 6 | X..OOOXX. | 6
naive | -1 | bee | 5 | XXXO..O.. | 5
naive | -1 | bee | 6 | XO.XO..OX | 6
naive | -1 | bee | 5 | XXXO.O... | 5
naive | -1 | bee | 6 | X..OOOXX. | 6
naive | -1 | bee | 5 | XXX.OO... | 5
naive | -1 | bee | 6 | OX.OXXO.. | 6
naive | -1 | bee | 7 | XOXOXOX.. | 7
naive | -1 | bee | 6 | OOO.X..XX | 6
naive | -1 | bee | 7 | XOXXO.X.O | 7
naive | -1 | bee | 6 | O.XXO.X.O | 6
naive | -1 | bee | 7 | XOXOXOX.. | 7
naive | -1 | bee | 6 | XO..O.XOX | 6
naive | -1 | bee | 7 | XOXOXOX.. | 7
naive | -1 | bee | 6 | OOO..XX.X | 6
naive | -1 | bee | 7 | XOX.X.OOX | 7
naive | -1 | bee | 6 | OOOX.XX.. | 6
naive | -1 | bee | 7 | XOX.XOXO. | 7
naive | -1 | bee | 8 | OOO.XXXXO | 8
naive | -1 | bee | 5 | XXX...O.O | 5
naive | -1 | bee | 8 | OXO.OXOXX | 8
naive | -1 | bee | 7 | XOXXO.X.O | 7
naive | -1 | bee | 6 | OOO.XX.X. | 6
naive | -1 | bee | 5 | XO.X.OX.. | 5
naive | -1 | bee | 6 | OOOX...XX | 6
naive | -1 | bee | 5 | XXX....OO | 5
naive | -1 | bee | 8 | OXO.OXOXX | 8
naive | -1 | bee | 7 | XXOOX.OX. | 7
naive | -1 | bee | 6 | X.OXO.O.X | 6
naive | -1 | bee | 5 | XXX..OO.. | 5
naive | 0 | bee | 9 | OXXXOOXOX | 9
naive | -1 | bee | 5 | X.OX..XO. | 5
naive | -1 | bee | 8 | XOXXOXOO. | 8
naive | -1 | bee | 5 | XXXO...O. | 5
naive | 0 | bee | 9 | XXOOOXXXO | 9
naive | -1 | bee | 5 | XOOX..X.. | 5
naive | -1 | bee | 8 | OOOOXXX.X | 8
naive | -1 | bee | 5 | XO.X..X.O | 5
naive | -1 | bee | 6 | .OXXO.XO. | 6
naive | -1 | bee | 5 | XXX...OO. | 5
naive | 0 | bee | 9 | XOXXOXOXO | 9
naive | -1 | bee | 5 | XOOX..X.. | 5
naive | -1 | bee | 8 | XXOOOXO.X | 8
naive | -1 | bee | 5 | XXXO....O | 5
naive | -1 | bee | 6 | OOOX...XX | 6
naive | -1 | bee | 7 | XOX.XOX.O | 7
naive | -1 | bee | 8 | OOOXOXX.X | 8
naive | -1 | bee | 7 | XOXOX.XO. | 7

SUMÁRIO:
  naive: W=0 D=8 L=92
  bee: W=92 D=8 L=0
